"Year","Month","MonthName","DepartmentName","totalvisits"
"2023","1","January","Pediatrics","9"
"2023","1","January","Dermatology","7"
"2023","1","January","Oncology","4"
"2023","2","February","Pediatrics","6"
"2023","2","February","Dermatology","6"
"2023","2","February","Oncology","2"
"2023","3","March","Pediatrics","10"
"2023","3","March","Dermatology","7"
"2023","3","March","Oncology","2"
"2023","4","April","Pediatrics","14"
"2023","4","April","Dermatology","7"
"2023","4","April","Oncology","4"
"2023","5","May","Pediatrics","10"
"2023","5","May","Oncology","5"
"2023","5","May","Dermatology","4"
"2023","6","June","Pediatrics","10"
"2023","6","June","Dermatology","6"
"2023","6","June","Oncology","2"
"2023","7","July","Dermatology","7"
"2023","7","July","Pediatrics","7"
"2023","7","July","Oncology","2"
"2023","8","August","Pediatrics","8"
"2023","8","August","Dermatology","5"
"2023","8","August","Oncology","2"
"2023","9","September","Pediatrics","5"
"2023","9","September","Dermatology","5"
"2023","9","September","Oncology","1"
"2023","10","October","Pediatrics","6"
"2023","10","October","Dermatology","6"
"2023","10","October","Oncology","2"
"2023","11","November","Pediatrics","7"
"2023","11","November","Dermatology","6"
"2023","11","November","Oncology","4"
"2023","12","December","Pediatrics","6"
"2023","12","December","Dermatology","4"
"2023","12","December","Oncology","2"
